State or District,Population,White,"Black or African American","American Indian and Alaska Native",Asian,"Native Hawaiian and Other Pacific Islander",Some other race,Two or more races
Alabama,"4,830,620",68.80,26.40,0.50,1.20,0.10,1.30,1.70
Alaska,"733,375",66.00,3.40,13.80,5.90,1.20,1.30,8.40
Arizona,"6,641,928",78.40,4.20,4.40,3.00,0.20,6.50,3.20
Arkansas,"2,958,208",78.00,15.50,0.60,1.40,0.20,2.10,2.10
California,"38,421,464",61.80,5.90,0.70,13.70,0.40,12.90,4.50
Colorado,"5,278,906",84.20,4.00,0.90,2.90,0.10,4.30,3.50
Connecticut,"3,593,222",77.30,10.30,0.20,4.20,0.00,5.10,2.80
Delaware,"926,454",69.40,21.60,0.30,3.60,0.00,2.30,2.70
District of Columbia,"647,484",40.20,48.90,0.30,3.70,0.00,4.20,2.70
Florida,"19,645,772",76.00,16.10,0.30,2.60,0.10,2.50,2.40
Georgia,"10,006,693",60.20,30.90,0.30,3.60,0.00,2.80,2.10
Hawaii,"1,406,299",25.40,2.00,0.20,37.70,9.90,1.10,23.70
Idaho,"1,616,547",91.70,0.60,1.30,1.30,0.10,2.40,2.60
Illinois,"12,873,761",72.30,14.30,0.20,5.00,0.00,5.80,2.20
Indiana,"6,568,645",84.20,9.20,0.20,1.90,0.00,2.30,2.20
Iowa,"3,093,526",91.20,3.20,0.30,2.00,0.10,1.30,2.00
Kansas,"2,892,987",85.20,5.80,0.80,2.60,0.10,2.20,3.30
Kentucky,"4,397,353",87.60,7.90,0.20,1.30,0.00,0.90,2.10
Louisiana,"4,625,253",62.80,32.10,0.60,1.70,0.00,1.00,1.80
Maine,"1,329,100",95.00,1.10,0.60,1.10,0.00,0.20,2.00
Maryland,"5,930,538",57.60,29.50,0.30,6.00,0.00,3.60,3.00
Massachusetts,"6,705,586",79.60,7.10,0.20,6.00,0.00,4.20,2.90
Michigan,"9,900,571",79.00,14.00,0.50,2.70,0.00,1.10,2.60
Minnesota,"5,419,171",84.80,5.50,1.00,4.40,0.00,1.50,2.70
Mississippi,"2,988,081",59.20,37.40,0.40,1.00,0.00,0.90,1.20
Missouri,"6,045,448",82.60,11.50,0.40,1.80,0.10,1.10,2.40
Montana,"1,014,699",89.20,0.50,6.50,0.70,0.10,0.50,2.50
Nebraska,"1,869,365",88.10,4.70,0.90,2.00,0.10,1.90,2.20
Nevada,"2,798,636",69.00,8.40,1.10,7.70,0.60,8.80,4.40
New Hampshire,"1,324,201",93.70,1.30,0.20,2.40,0.00,0.50,1.80
New Jersey,"8,904,413",68.30,13.50,0.20,9.00,0.00,6.40,2.50
New Mexico,"2,084,117",73.20,2.10,9.10,1.40,0.10,10.90,3.30
New York,"19,673,174",64.60,15.60,0.40,8.00,0.00,8.60,2.90
North Carolina,"9,845,333",69.50,21.50,1.20,2.50,0.10,3.00,2.40
North Dakota,"721,640",88.70,1.60,5.30,1.20,0.00,0.80,2.20
Ohio,"11,575,977",82.40,12.20,0.20,1.90,0.00,0.80,2.50
Oklahoma,"3,849,733",73.10,7.20,7.30,1.90,0.10,2.60,7.80
Oregon,"3,939,233",85.10,1.80,1.20,4.00,0.40,3.40,4.10
Pennsylvania,"12,779,559",81.60,11.00,0.20,3.10,0.00,2.00,2.10
Rhode Island,"1,053,661",81.10,6.50,0.50,3.20,0.00,5.80,2.80
South Carolina,"4,777,576",67.20,27.50,0.30,1.40,0.10,1.50,2.00
South Dakota,"843,190",85.00,1.60,8.60,1.20,0.00,0.90,2.60
Tennessee,"6,499,615",77.80,16.80,0.30,1.60,0.10,1.50,2.00
Texas,"26,538,614",74.90,11.90,0.50,4.20,0.10,6.00,2.50
Utah,"2,903,379",87.60,1.10,1.10,2.20,0.90,4.50,2.60
Vermont,"626,604",94.90,1.10,0.30,1.40,0.00,0.30,1.90
Virginia,"8,256,630",69.00,19.20,0.30,6.00,0.10,2.20,3.20
Washington,"6,985,464",77.80,3.60,1.30,7.70,0.60,3.80,5.20
West Virginia,"1,851,420",93.60,3.30,0.20,0.70,0.00,0.20,2.00
Wisconsin,"5,742,117",86.50,6.30,0.90,2.50,0.00,1.70,2.10
Wyoming,"579,679",91.00,1.10,2.20,0.90,0.10,2.10,2.70
Puerto Rico,"3,583,073",69.70,8.40,0.30,0.30,0.00,12.00,9.30